texture;percentage;min;max
S;0.04;60;70
S;0.05;55;65
S;0.06;50;60
S;0.07;45;55
S;0.08;40;50
S;0.09;35;45
S;0.1;30;40
L;0.08;60;70
L;0.1;55;65
L;0.12;50;60
L;0.14;45;55
L;0.16;40;50
L;0.18;35;45
L;0.2;30;40
LSa;0.04;60;70
LSa;0.05;55;65
LSa;0.06;50;60
LSa;0.07;45;55
LSa;0.08;40;50
LSa;0.09;35;45
LSa;0.1;30;40
Si;0.04;60;70
Si;0.05;55;65
Si;0.06;50;60
Si;0.07;45;55
Si;0.08;40;50
Si;0.09;35;45
Si;0.1;30;40
C;0.26;60;70
C;0.3;55;65
C;0.34;50;60
C;0.38;45;55
C;0.42;40;50
C;0.46;35;45
C;0.5;30;40
SaC;0.08;60;70
SaC;0.1;55;65
SaC;0.12;50;60
SaC;0.14;45;55
SaC;0.16;40;50
SaC;0.18;35;45
SaC;0.2;30;40
SaCL;0.08;60;70
SaCL;0.1;55;65
SaCL;0.12;50;60
SaCL;0.14;45;55
SaCL;0.16;40;50
SaCL;0.18;35;45
SaCL;0.2;30;40
SaL;0.08;60;70
SaL;0.1;55;65
SaL;0.12;50;60
SaL;0.14;45;55
SaL;0.16;40;50
SaL;0.18;35;45
SaL;0.2;30;40
