texture;min_percentage;max_percentage;min;max
S;0;0.05;70;90
S;0.05;0.1;60;70
S;0.1;0.3;45;60
S;0.3;1;20;45
L;0;0.1;70;90
L;0.1;0.2;60;70
L;0.2;0.4;45;60
L;0.4;1;20;45
LSa;0;0.1;70;90
LSa;0.1;0.2;60;70
LSa;0.2;0.4;45;60
LSa;0.4;1;20;45
Si;0;0.05;70;90
Si;0.05;0.1;60;70
Si;0.1;0.3;45;60
Si;0.3;1;20;45
C;0;0.15;70;90
C;0.15;0.3;60;70
C;0.3;0.6;45;60
C;0.8;1;20;45
SaC;0;0.1;70;90
SaC;0.1;0.2;60;70
SaC;0.2;0.4;45;60
SaC;0.4;1;20;45
SaCL;0;0.3;70;90
SaCL;0.3;0.5;60;70
SaCL;0.5;0.8;45;60
SaCL;0.8;1;20;45
SaL;0;0.1;70;90
SaL;0.1;0.2;60;70
SaL;0.2;0.4;45;60
SaL;0.4;1;20;45
